Blueprint Name,Most Likely Container,Most Likely Map,Most Likely Condition,Most Likely Location,Item Type,Rarity,Item URL,Amount of Data/Confidence,Trials Reward,Quest Reward,Description,Active
Angled Grip II,"Residential Containers (wardrobes, drawers, etc)",Any,Any,"Village, Plaza Roza, Ruby Residence, etc",Mod,uncommon,https://arcraiders.wiki/wiki/Angled_Grip_II,Very High,FALSE,FALSE,,TRUE
Angled Grip III,"Residential Containers (wardrobes, drawers, etc)",Any,Night,"Village, Plaza Roza, Ruby Residence, etc",Mod,rare,https://arcraiders.wiki/wiki/Angled_Grip_III,Very High,FALSE,FALSE,,TRUE
Anvil,"Raider Cache, Weapon Box, Ammo Case, Grenade Case",Any,Any,Any,Weapon,uncommon,https://arcraiders.wiki/wiki/Anvil,Very High,FALSE,FALSE,,TRUE
Aphelion,Any,Stella Montis,Any,Any,Weapon,legendary,https://arcraiders.wiki/wiki/Aphelion,Very High,FALSE,FALSE,,TRUE
Barricade Kit,"Server Cabinet, but can spawn anywhere",Any,Any,Any,Quick Use,uncommon,https://arcraiders.wiki/wiki/Barricade_Kit,Confident,FALSE,FALSE,,TRUE
Bettina,"Raider Cache, Weapon Box, Ammo Case, Grenade Case",Any,Any,Any,Weapon,epic,https://arcraiders.wiki/wiki/Bettina,Very High,FALSE,FALSE,,TRUE
Blaze Grenade,Any,Any,Any,Any,Grenade,rare,https://arcraiders.wiki/wiki/Blaze_Grenade,Low,FALSE,FALSE,,TRUE
Bobcat,Any,Blue Gate,Locked Gate,Any,Weapon,epic,https://arcraiders.wiki/wiki/Bobcat,Confirmed,TRUE,FALSE,,TRUE
Burletta,N/A,N/A,N/A,N/A,Weapon,uncommon,https://arcraiders.wiki/wiki/Burletta,Confirmed,FALSE,TRUE,Quest Name | Industrial Espionage,TRUE
Combat Mk. 3 (Aggressive),Metal Lockers in Blue Gate security wing,"Stella Montis, Blue Gate",Any,Security Wing,Augment,epic,https://arcraiders.wiki/wiki/Combat_Mk._3_(Aggressive),Very High,TRUE,FALSE,,TRUE
Combat Mk. 3 (Flanking),Any,Stella Montis,Any,Any,Augment,epic,https://arcraiders.wiki/wiki/Combat_Mk._3_(Flanking),Low,FALSE,FALSE,,TRUE
